sedft,sedfv,Sepkoskit,Sepkoskiv,Rhodet,Rhodev
-168.0,1.9141002662509181,-168.93160813308688,1103.675276942582,-168.0,1239.0000000000002
-169.0,1.9075513869869827,-169.93715341959336,1101.3105894510995,-169.0,1239.0
-170.0,1.9027133972659949,-170.94269870609983,1084.200040957215,-170.0,1136.0000000000002
-171.0,1.894971243707197,-171.9482439926063,1039.9039781977733,-171.0,1136.0
-172.0,1.879709872929831,-172.95378927911275,967.2151651125823,-172.0,988.0
-173.0,1.853633317644518,-173.95933456561923,881.7439221999717,-173.0,988.0000000000001
-174.0,1.818721954927402,-174.9648798521257,800.480120542911,-174.0,988.0
-175.0,1.7782752479460027,-175.97042513863218,740.2236342145897,-175.0,988.0000000000002
-176.0,1.735592659867843,-176.97597042513866,708.7962594596675,-176.0,923.0000000000001
-177.0,1.693973653860445,-177.9815157116451,701.342028346546,-177.0,923.0
-178.0,1.6567176930913285,-178.98706099815158,712.0473091246581,-178.0,923.0
-179.0,1.626433984316498,-179.99260628465805,735.0984700434377,-179.0,923.0
-180.0,1.602970708645882,-180.99815157116453,764.6818793523188,-180.0,963.0
-181.0,1.585485790777889,-182.003696857671,794.9839053007341,-181.0,963.0000000000001
-182.0,1.5731371554109304,-183.00924214417745,820.1909171544991,-182.0,963.0000000000001
-183.0,1.565082727243413,-184.01478743068392,835.8347187809566,-183.0,958.0
-184.0,1.560480430973749,-185.0203327171904,842.6825009126375,-184.0,958.0000000000001
-185.0,1.5584881913003448,-186.02587800369687,842.7747027641097,-185.0,958.0
-186.0,1.5582639329216135,-187.03142329020335,838.151763549942,-186.0,958.0000000000001
-187.0,1.5589655805359623,-188.0369685767098,830.8541224847029,-187.0,897.0
-188.0,1.5592478372168077,-189.04251386321627,822.9222187829602,-188.0,897.0
-189.0,1.5557525195375903,-190.04805914972275,816.325523485878,-189.0,897.0000000000001
-190.0,1.5446182224467575,-191.05360443622922,810.8941410748996,-190.0,819.0
-191.0,1.5219835408927558,-192.0591497227357,803.9922316387677,-191.0,819.0
-192.0,1.4867663138854206,-193.06469500924214,792.8472580115816,-192.0,819.0000000000001
-193.0,1.4490013566801454,-194.07024029574862,774.6866830274392,-193.0,819.0000000000001
-194.0,1.42150272859371,-195.0757855822551,746.7379695204398,-194.0,724.0000000000001
