time (Ma),Area (km2),bioPlant (Species Nb)
-248.0,19970302.910617273,288.1349621466794
-247.0,20700657.78616682,291.12092228185656
-246.0,21396329.05550088,293.80268035645355
-245.0,22014006.554087725,296.0875736923645
-244.0,22518604.704165373,297.87910771633176
-243.0,22907936.275050856,299.0950218227679
-242.0,23188038.622830965,299.8052149860597
-241.0,23364949.103592444,300.17177928058624
-240.0,23444705.073422085,300.35089299311124
-239.0,23443365.19054356,300.40148656721266
-238.0,23417073.32172816,300.312673160212
-237.0,23431994.635884088,300.0729459883645
-236.0,23554294.30191953,299.6864688977096
-235.0,23850137.488742724,299.1706388469977
-234.0,24385689.365261827,298.54360698900683
-233.0,25153913.59597774,297.8311598490377
-232.0,25854967.827762015,297.0666337094452
-231.0,26199800.63420259,296.2834843292589
-230.0,26235330.313381918,295.50904773645277
-229.0,26092467.594506122,294.76359124934066
-228.0,25902123.20678132,294.0669848388534
-227.0,25795207.87941365,293.43892161238574
-226.0,25874848.09259249,292.8988558615234
-225.0,26133033.330440223,292.4660090011943
-224.0,26533968.828062512,292.1458599068581
-223.0,27041859.82056502,291.9221228720228
-222.0,27620911.543053403,291.7766824836008
-221.0,28236983.557825845,291.7017334774082
-220.0,28862552.735950686,291.70872467704123
-219.0,29471750.275688827,291.8111627568756
-218.0,30038707.375301093,292.0121841977806
-217.0,30544036.233296134,292.29195583921603
-216.0,30994273.049173534,292.6275723183917
-215.0,31402435.02268061,293.00144097188536
-214.0,31781539.35356473,293.4100219921908
-213.0,32144603.2415732,293.8520727054507
-212.0,32502957.674671084,294.3269095933322
-211.0,32861188.793694302,294.83562625386264
-210.0,33222196.52769647,295.3796685272107
-209.0,33588880.80573123,295.9571479249065
-208.0,33964141.55685218,296.5533805983135
-207.0,34350878.710113004,297.1506138851106
-206.0,34751992.1945673,297.73603512311047
-205.0,35170381.93926866,298.31977325315154
-204.0,35608902.827527046,298.9186120617854
-203.0,36070229.55967726,299.5447121698466
-202.0,36556991.790310405,300.1841928216297
-201.0,37071819.17401761,300.8140644420554
-200.0,37611474.25095213,301.4155520583858
-199.0,38149251.10351579,301.99888149440386
-198.0,38652576.69967252,302.5864566491664
-197.0,39088878.007386334,303.19709636248206
-196.0,39425581.99462119,303.81904356946194
-195.0,39646399.65640984,304.4252087296483
-194.0,39800178.09606004,304.9910629597893
-193.0,39952048.44394837,305.5200869698565
-192.0,40167141.83045137,306.0324637149407
-191.0,40510589.38594559,306.5471115626391
-190.0,41021291.21983259,307.06333709454225
-189.0,41633223.35761385,307.5665975881332
-188.0,42254130.80381581,308.0424950305125
-187.0,42791758.56296493,308.484012441377
-186.0,43173125.98827527,308.8902898165254
-185.0,43402349.82771134,309.2610490968761
-184.0,43502821.17792523,309.6047971541867
-183.0,43497931.135569006,309.9386806279697
-182.0,43411070.79729479,310.27952281290175
-181.0,43265631.25975462,310.6231945036504
-180.0,43085003.619600676,310.94129033644913
-179.0,42892578.97348497,311.2046488845473
-178.0,42711748.41805963,311.41034256144945
-177.0,42560273.21833303,311.5912823018858
-176.0,42433395.31273864,311.78251992388675
-175.0,42320726.8080663,311.98967431450507
-174.0,42211879.81110579,312.17090290347613
-173.0,42096466.42864686,312.28030856389194
-172.0,41964098.76747934,312.3005668127662
-171.0,41821531.07392413,312.2688977130455
-170.0,41744086.15242668,312.2285944812194
-169.0,41824228.94696362,312.2085333001187
-168.0,42154424.40151157,312.2049294888708
-167.0,42762181.261947915,312.2094903621158
-166.0,43415183.48175332,312.2070857504373
-165.0,43816158.8163092,312.1641189566255
-164.0,43753213.5939433,312.0439142517443
-163.0,43355968.4347684,311.8354921976877
-162.0,42839422.53184351,311.6109658906127
-161.0,42418575.0782277,311.4592129884705
-160.0,42308425.26697999,311.43544699358046
-159.0,42659677.65351282,311.4642429075275
-158.0,43365858.242652126,311.4384908376015
-157.0,44256198.401577204,311.27885520239374
-156.0,45159929.49746745,311.03573575260384
-155.0,45906282.897502124,310.79738173973755
-154.0,46366180.290545866,310.6424130675151
-153.0,46577304.65220432,310.5952766797148
-152.0,46619029.279768355,310.66149867809895
-151.0,46570727.470528886,310.8394424121925
-150.0,46511772.521776855,311.07881815697044
-149.0,46521537.73080315,311.3090499233241
-148.0,46663431.013525344,311.4705692263777
-147.0,46936998.760367945,311.59605885861873
-146.0,47325821.980382144,311.7640015614842
-145.0,47813481.682619065,312.0467781007492
-144.0,48380390.08186534,312.45059748745433
-143.0,48994284.21584908,312.942738016148
-142.0,49619732.32803388,313.49203919768036
-141.0,50226313.69993541,314.0939661686965
-140.0,50803651.76527795,314.762523866072
-139.0,51346380.99583787,315.51128555927636
-138.0,51849135.86339152,316.34041415175614
-137.0,52306550.83971532,317.23902975230254
-136.0,52713260.39658564,318.1962601930553
-135.0,53065668.649066746,319.2086240963752
-134.0,53367258.2853744,320.2798403774423
-133.0,53623281.637012266,321.41398841564904
-132.0,53838991.035484016,322.61701894641567
-131.0,54019638.812293306,323.8970424004719
-130.0,54168250.68688957,325.26187677869973
-129.0,54278945.93050531,326.70119261162233
-128.0,54343617.20231888,328.1797835168289
-127.0,54354157.16150852,329.66083578605316
-126.0,54309716.587112784,331.1209680549769
-125.0,54238478.73761118,332.5587577413515
-124.0,54175884.99134353,333.97486208726326
-123.0,54157376.726649575,335.3911375089459
-122.0,54218395.32186908,336.88325047325816
-121.0,54383966.85856663,338.5351372971404
-120.0,54637456.23120584,340.3787338359501
-119.0,54951813.03747514,342.31649322899085
-118.0,55299986.87506295,344.23106664288053
-117.0,55654927.3416577,346.0492755228415
-116.0,55989584.034947805,347.83970566703107
-115.0,56279664.937520415,349.6993013223542
-114.0,56511911.571557716,351.69053212294864
-113.0,56675823.84414063,353.77302901304205
-112.0,56760901.66235007,355.8873318564817
-111.0,56756644.93326698,357.98628339713787
-110.0,56658633.618808374,360.0810395121963
-109.0,56486767.90023543,362.2000154998051
-108.0,56267028.01364545,364.3673287034511
-107.0,56025394.19513573,366.58217364436075
-106.0,55787822.50683993,368.8347884727567
-105.0,55580172.31503695,371.11307434581977
-104.0,55428278.81204204,373.3890845908659
-103.0,55357977.1901705,375.6282610586821
-102.0,55379750.31659673,377.8035185670739
-101.0,55442671.75793175,379.9515318289791
-100.0,55480462.75564567,382.1411906331956
-99.0,55426844.55120866,384.4318615491138
-98.0,55215538.386090815,386.78922156381304
-97.0,54780265.50176232,389.12678266990656
-96.0,54098274.80716655,391.36436434170923
-95.0,53320925.881139934,393.4912685929731
-94.0,52643105.969992146,395.5371393502152
-93.0,52259702.320032865,397.53497269745577
-92.0,52365602.17757176,399.5576950453873
-91.0,53065243.05540824,401.70760203923476
-90.0,54101263.53230046,404.0796280230022
-89.0,55125852.45349628,406.620373878858
-88.0,55791198.664243564,409.1459866335386
-87.0,55749491.0097902,411.47038738228554
-86.0,54769659.744675554,413.51387912725977
-85.0,53087600.76060512,415.3478080888998
-84.0,51055951.35857591,417.05490631894287
-83.0,49027348.83958486,418.71307065404045
-82.0,47354430.50462899,420.3936558154248
-81.0,46389833.65470531,422.16585736096886
-80.0,46394760.703745976,424.03873157777764
-79.0,47264674.517424,425.94637953253823
-78.0,48803603.07434756,427.81822366981277
-77.0,50815574.35312483,429.60271163927314
-76.0,53104616.33236398,431.3013771959832
-75.0,55474756.990673214,432.9251304566839
-74.0,57756220.318105884,434.5039906979845
-73.0,59884014.35049596,436.1031985794934
-72.0,61819343.1351226,437.7917894237608
-71.0,63523410.71926498,439.6127669650965
-70.0,64957421.15020225,441.4971547349853
-69.0,66082578.47521358,443.3458718850429
-68.0,66870317.59433594,445.09002041792246
-67.0,67332996.81863762,446.8104817743015
-66.0,67493205.31194478,448.6345104984993
-65.0,67387171.92891079,450.6629373703947
-64.0,67105684.28749814,452.8440194969789
-63.0,66753169.6964966,455.0713996873229
-62.0,66434055.464695886,457.25549504346594
-61.0,66252768.90088579,459.4445522078856
-60.0,66263533.36082064,461.75423137121703
-59.0,66319756.388112985,464.2784705440918
-58.0,66224641.57333987,466.982567979933
-57.0,65781392.507078424,469.78556184678354
-56.0,64793212.77990579,472.6145656818077
-55.0,63172760.658019006,475.46652834667975
-54.0,61270513.11009508,478.3739455474837
-53.0,59546401.780430995,481.3662939155744
-52.0,58460358.31332371,484.4369617411811
-51.0,58361175.40193177,487.5570948674637
-50.0,59153089.934860006,490.6995934291929
-49.0,60629199.84957482,493.86698369869276
-48.0,62582603.08354269,497.08384934193816
-47.0,64806397.574229956,500.3737872801677
-46.0,67093681.25910304,503.73152240034483
-45.0,69237552.07562837,507.1258556019255
-44.0,71067275.49420328,510.52565196301225
-43.0,72556787.11694865,513.9260597039431
-42.0,73716190.07891639,517.3507001839475
-41.0,74555587.51515825,520.824531397959
-40.0,75085082.56072617,524.3690659472336
-39.0,75323780.99056181,528.0013080604956
-38.0,75326799.13916631,531.7376726165951
-37.0,75158255.98093069,535.5763621175882
-36.0,74882270.490246,539.4866813565648
-35.0,74565336.44293064,543.4356264328976
-34.0,74283446.82051325,547.4209514001996
-33.0,74114969.40594976,551.4999690861931
-32.0,74138271.98219618,555.7367130401999
-31.0,74431722.33220854,560.166948396289
-30.0,75038539.75118135,564.7591471596185
-29.0,75861349.58326292,569.4719947567273
-28.0,76767628.68484005,574.2784433739893
-27.0,77624853.91229957,579.1936580970199
-26.0,78300502.12202822,584.2405740943999
-25.0,78696376.71368073,589.4362534877349
-24.0,78851587.25998327,594.775949565122
-23.0,78839569.87692979,600.2498544883462
-22.0,78733760.6805143,605.8471292742702
-21.0,78607595.78673086,611.5529741126036
-20.0,78534511.31157348,617.3516180856452
-19.0,78562795.52852331,623.2178914573304
-18.0,78640145.34101018,629.1023065372855
-17.0,78689109.80995116,634.9521844947279
-16.0,78632237.99626324,640.7521326501931
-15.0,78392078.96086349,646.5423111918719
-14.0,77923086.2890255,652.3664974260441
-13.0,77307331.66344942,658.2552734692574
-12.0,76658791.29119192,664.2292668065134
-11.0,76091441.37930974,670.2734901685473
-10.0,75691546.64388171,676.2432651797864
-9.0,75434525.8370748,681.9702602434331
-8.0,75268086.2200782,687.4645542876995
-7.0,75139935.05408105,692.9393948051329
-6.0,74997779.60027246,698.5849599980992
-5.0,74789327.11984156,704.2519320353408
-4.0,74462284.87397756,709.596322220511
-3.0,73964360.1238695,714.5208439182296
-2.0,73243260.13070658,720.0156541698124
-1.0,72246692.15567794,727.3676817980215
0.0,70922363.45997265,737.8638624395045
