time (Ma),sedFlux (km3/yr),bioMar (Family Nb)
-483.0,1.286161019202056,189.98576
-482.0,1.3156668353522871,196.18574098965144
-481.0,1.3352248999571774,202.20623131991547
-480.0,1.3449187020389886,208.11398000000003
-479.0,1.346976858313941,213.99106654906655
-478.0,1.3436279854982582,219.98089252609032
-477.0,1.3371007003081599,226.24219000000002
-476.0,1.329623619459869,232.8828628140825
-475.0,1.3234253596696068,239.80750190905684
-474.0,1.320257214230617,246.86987000000005
-473.0,1.319961182744228,253.94870108349244
-472.0,1.321901941388794,261.02261428212705
-471.0,1.3254441663426642,268.09520000000003
-470.0,1.3299525337841913,275.16929470379966
-469.0,1.335089306079753,282.2447191105832
-468.0,1.341707090347831,289.32054
-467.0,1.350956079894933,296.3960026939015
-466.0,1.363986468027567,303.4710666829475
-465.0,1.3819484480522417,310.54587
-464.0,1.405217141153786,317.6205915576316
-463.0,1.4310673800303133,324.69557378725665
-462.0,1.4559989252582601,331.7712000000001
-461.0,1.4765115374140607,338.8475110755724
-460.0,1.4891049770741518,345.9231781680263
-459.0,1.4910155914292271,352.99653000000006
-458.0,1.4824260741270177,360.06945858452366
-457.0,1.4642557054295113,367.15810909619415
-456.0,1.4374237655986986,374.28219000000007
-455.0,1.4033128675129882,381.4564205122591
-454.0,1.365158954516471,388.675562854605
-453.0,1.326661302569659,395.92939000000007
-452.0,1.2915191876330625,403.1995226997733
-451.0,1.263431885667193,410.43497281871953
-450.0,1.2460986726325625,417.5766
-449.0,1.2432188244896818,424.61625165161075
-448.0,1.2578403199325736,431.7497262408873
-447.0,1.2904059485893098,439.22381000000007
-446.0,1.3407072028214728,447.08949069378366
-445.0,1.4085355749906454,454.6145622177312
-444.0,1.4904437424493915,460.87101999999993
-443.0,1.570029122514194,465.1018292769582
-442.0,1.6276503174925183,467.2338345178174
-441.0,1.6436659296918281,467.36484999999993
-440.0,1.6053606857614344,465.9862203465318
-439.0,1.5277238097180317,465.1634115628512
-438.0,1.4326706499201631,467.35542
-437.0,1.3421165547263703,473.1966371146926
-436.0,1.2779768724951952,476.0230347863336
-435.0,1.2563577376740152,467.34598000000005
-434.0,1.270128429065546,442.1060597132163
-433.0,1.3063490115613399,408.9607407732961
-432.0,1.3520795500529474,379.99671000000006
-431.0,1.3943801094319201,364.4738544028125
-430.0,1.4203107545898108,360.3448617501119
-429.0,1.4220024294629887,362.73562
-428.0,1.411869594167106,367.46734563849674
-427.0,1.4073975878626332,373.1425692632936
-426.0,1.4260717497100408,379.05915
-425.0,1.4853774188698,384.6696737839415
-424.0,1.5953284162272265,390.0456337893067
-423.0,1.736052489567018,395.41325000000006
-422.0,1.8802058683987146,400.93612996647823
-421.0,2.00044478223186,406.527431505406
-420.0,2.075466289301138,412.03770000000003
-419.0,2.108130762741812,417.39431005384955
-418.0,2.1073394044142892,422.8319531520327
-417.0,2.0819934161789746,428.66215
-416.0,2.040993999896275,435.04606574404954
-415.0,1.993242357426598,441.5434432938705
-414.0,1.9471299085941212,447.56367
-413.0,1.9090089450781123,452.5981054884708
-412.0,1.884721976521611,456.4659984872999
-411.0,1.8801115125676588,459.06857
-410.0,1.9010200628592933,460.4273308205858
-409.0,1.950911646826916,461.04495090507817
-408.0,2.023736323050358,461.54439
-407.0,2.1110656598968087,462.3803478958529
-406.0,2.2044712257334584,463.3344845590542
-405.0,2.2955245889274987,464.0202
-404.0,2.377142343167754,464.1104857441508
-403.0,2.447621183429592,463.5166993772238
-402.0,2.5066028300100176,462.20979
-401.0,2.55372900320603,460.2209483868032
